loan_sequence_number,vintage_year,ead,pd_12m,lgd,expected_loss_12m
F22Q10000012,2022,88301.1,1.37614623535573e-06,0.4510108180396898,0.0548046816371307
F22Q10000178,2022,254684.0,4.423060664219506e-06,0.4510108180396898,0.5080559211103901
F22Q10000181,2022,106326.0,1.4365890672081287e-05,0.4510108180396898,0.6889044531175841
F22Q10000368,2022,145036.0,1.0500982416317252e-05,0.4510108180396898,0.686898715161641
F22Q10000392,2022,190902.0,2.04242839810636e-05,0.4510108180396898,1.75850771384275
F22Q10000396,2022,304161.0,1.1103353493374612e-05,0.4510108180396898,1.5231569377166092
F22Q10000476,2022,106653.0,2.135362025025427e-06,0.4510108180396898,0.10271445122110388
F22Q10000493,2022,220242.0,1.0612287708188316e-05,0.4510108180396898,1.054134717407014
F22Q10000564,2022,176853.0,8.23806305722424e-06,0.4510108180396898,0.657089461887622
F22Q10000604,2022,65210.0,1.0299900147288546e-06,0.4510108180396898,0.030292434236726503
F22Q10000611,2022,228072.0,8.139529261407544e-06,0.4510108180396898,0.8372559042811996
F22Q10000614,2022,158910.0,2.0470901924149787e-06,0.4510108180396898,0.14671521835884938
F22Q10000639,2022,184876.0,9.643364669651065e-06,0.4510108180396898,0.8040741223764074
F22Q10000732,2022,537258.0,9.509113750686906e-06,0.4510108180396898,2.3041454611097376
F22Q10000747,2022,170039.0,1.1184865724424956e-05,0.4510108180396898,0.8577609601284493
F22Q10000750,2022,396677.0,3.5002361875085938e-06,0.4510108180396898,0.6262119192086071
F22Q10000783,2022,48161.9,1.620233398491074e-06,0.4510108180396898,0.03519396120027381
F22Q10000876,2022,352756.0,1.6868168967813806e-05,0.4510108180396898,2.68367123449577
F22Q10000930,2022,146831.0,1.8898031293850664e-06,0.4510108180396898,0.12514724097198618
F22Q10000960,2022,76517.5,2.10919981580707e-06,0.4510108180396898,0.07278895023557858
F22Q10000971,2022,405791.0,5.912573801284823e-06,0.4510108180396898,1.0820963805539385
F22Q10001022,2022,176546.0,7.228544708004524e-06,0.4510108180396898,0.5755667706275206
F22Q10001032,2022,93293.9,7.441782704277569e-06,0.4510108180396898,0.31312460274913284
F22Q10001049,2022,424955.0,4.110793520541254e-06,0.4510108180396898,0.7878718175532339
F22Q10001215,2022,233320.0,1.1148346488456635e-05,0.4510108180396898,1.1731387625631098
F22Q10001236,2022,364197.0,2.597628283393863e-06,0.4510108180396898,0.42667807538460656
F22Q10001279,2022,397313.0,1.994029757528787e-06,0.4510108180396898,0.35731509985354076
F22Q10001359,2022,72779.6,3.799341096831798e-05,0.4510108180396898,1.2471104225134115
F22Q10001445,2022,94589.0,2.1235736015340135e-05,0.4510108180396898,0.9059305621534055
F22Q10001560,2022,103709.0,9.111553653038376e-07,0.4510108180396898,0.042618272563701286
F22Q10001694,2022,456183.0,6.680772350001386e-05,0.4510108180396898,13.745252722465422
F22Q10001717,2022,43059.1,9.04989334300736e-06,0.4510108180396898,0.17575001393964101
F22Q10001756,2022,175182.0,5.631460213715468e-06,0.4510108180396898,0.44493591121046117
F22Q10001757,2022,286147.0,1.6653941201448537e-05,0.4510108180396898,2.1492809192509497
F22Q10001762,2022,142623.0,1.2676919957949396e-06,0.4510108180396898,0.08154367394143022
F22Q10001887,2022,87421.0,9.753709025159322e-06,0.4510108180396898,0.3845674518217212
F22Q10001889,2022,266649.0,9.955435405852744e-06,0.4510108180396898,1.1972564275291446
F22Q10001905,2022,179646.0,1.6417948311061932e-06,0.4510108180396898,0.13302197597013693
F22Q10001997,2022,104758.0,2.4775853673347377e-05,0.4510108180396898,1.1705845423650965
F22Q10002039,2022,181296.0,9.946780686642317e-06,0.4510108180396898,0.8133130179617787
F22Q10002090,2022,192753.0,1.2323935065250183e-06,0.4510108180396898,0.10713651284778691
F22Q10002239,2022,124790.0,1.0366839417233922e-06,0.4510108180396898,0.05834627238441254
F22Q10002245,2022,617910.0,3.670178014325117e-05,0.4510108180396898,10.228202368509168
F22Q10002271,2022,368627.0,3.1527326461155856e-06,0.4510108180396898,0.5241568246250649
F22Q10002357,2022,158905.0,4.1872303720025665e-06,0.4510108180396898,0.30008989887964166
F22Q10002397,2022,91943.8,1.2320149440766643e-06,0.4510108180396898,0.05108876258818439
F22Q10002503,2022,529637.0,5.566769620547169e-05,0.4510108180396898,13.297454853974747
F22Q10002505,2022,418451.0,1.5691210387331613e-05,0.4510108180396898,2.961338238960546
F22Q10002638,2022,60556.0,9.174744669549305e-06,0.4510108180396898,0.25057522338201055
F22Q10002645,2022,208176.0,3.1818502283888083e-06,0.4510108180396898,0.29874273447405714
F22Q10002666,2022,955479.0,0.000111520543191,0.4510108180396898,48.05769994853404
F22Q10002812,2022,67122.0,9.49600964729328e-07,0.4510108180396898,0.02874703082779363
F22Q10002827,2022,212595.0,9.78258624492285e-07,0.4510108180396898,0.09379802427454875
F22Q10002852,2022,276695.0,1.3573236546544697e-06,0.4510108180396898,0.1693837284231942
F22Q10002868,2022,46846.8,3.5506333439869533e-06,0.4510108180396898,0.07501924980012462
F22Q10002913,2022,22512.7,3.469836802777419e-05,0.4510108180396898,0.35230888195882515
F22Q10002920,2022,180148.0,1.1732119744099582e-05,0.4510108180396898,0.9532194404752934
F22Q10002924,2022,192685.0,4.857730402843723e-06,0.4510108180396898,0.42215143979766123
F22Q10003026,2022,67479.0,9.007474149287738e-06,0.4510108180396898,0.2741312973725841
F22Q10003145,2022,138705.0,4.104936155535468e-06,0.4510108180396898,0.2567943609467313
F22Q10003147,2022,125489.0,5.615082529088884e-06,0.4510108180396898,0.31779624499038295
F22Q10003176,2022,214704.0,5.433621295430091e-06,0.4510108180396898,0.5261583427468385
F22Q10003203,2022,349873.0,5.465909602706511e-06,0.4510108180396898,0.8625014480228024
F22Q10003208,2022,556697.0,2.8967068024024993e-05,0.4510108180396898,7.272946270773002
F22Q10003210,2022,314359.0,2.322076357304692e-05,0.4510108180396898,3.2922238312113183
F22Q10003252,2022,334572.0,2.6083595677429465e-05,0.4510108180396898,3.9358995959278564
F22Q10003262,2022,128447.0,2.8200209244115677e-05,0.4510108180396898,1.6336659422798316
F22Q10003264,2022,634779.0,3.3030528530497844e-05,0.4510108180396898,9.456382550164584
F22Q10003308,2022,64793.5,4.788112825052004e-06,0.4510108180396898,0.13992095951019504
F22Q10003406,2022,107889.0,6.415801202161852e-06,0.4510108180396898,0.3121871517171496
F22Q10003460,2022,311049.0,7.950187279545127e-06,0.4510108180396898,1.1153036611115525
F22Q10003484,2022,44996.7,1.2567084990271194e-06,0.4510108180396898,0.025503640364141326
F22Q10003491,2022,292431.0,1.352521888020532e-05,0.4510108180396898,1.7838349577810615
F22Q10003531,2022,293914.0,1.2579004473823089e-05,0.4510108180396898,1.667452625801561
F22Q10003572,2022,304213.0,2.6479364498370924e-05,0.4510108180396898,3.6330576206554253
F22Q10003576,2022,107791.0,2.6883749414667253e-06,0.4510108180396898,0.13069509799527398
F22Q10003581,2022,294364.0,1.2496626463783323e-05,0.4510108180396898,1.6590689803007985
